"Message","User","TimeCreated","Source"
"Session has been disconnected","TRADENET\thor","11/12/2016 9:08:31 AM","192.168.77.56"
"Session reconnection succeeded","TRADENET\thor","11/12/2016 5:04:37 AM","192.168.77.56"
"Session has been disconnected","TRADENET\thor","11/12/2016 5:04:09 AM","192.168.77.56"
"Session reconnection succeeded","TRADENET\thor","11/10/2016 8:08:54 PM","192.168.77.56"
"Session has been disconnected","TRADENET\thor","11/10/2016 6:57:51 PM","10.215.237.139"
"Session reconnection succeeded","TRADENET\thor","11/10/2016 2:41:15 PM","10.215.237.139"
"Session has been disconnected","TRADENET\thor","11/9/2016 6:40:34 PM","10.10.47.2"
"Session reconnection succeeded","TRADENET\thor","11/9/2016 6:17:45 PM","10.10.47.2"
"Session has been disconnected","TRADENET\thor","11/9/2016 5:38:33 PM","10.215.237.139"
"Session has been disconnected","TRADENET\sagi.golan","11/9/2016 5:00:45 PM","10.215.237.97"
"Session reconnection succeeded","TRADENET\sagi.golan","11/9/2016 11:32:49 AM","10.215.237.97"
"Session reconnection succeeded","TRADENET\thor","11/9/2016 10:12:03 AM","10.215.237.139"
"Session has been disconnected","TRADENET\thor","11/9/2016 9:06:26 AM","10.215.237.139"
"Session reconnection succeeded","TRADENET\thor","11/8/2016 8:59:26 AM","10.215.237.139"
"Session has been disconnected","TRADENET\thor","11/7/2016 5:29:31 PM","10.215.237.139"
"Session reconnection succeeded","TRADENET\thor","11/7/2016 4:35:06 PM","10.215.237.139"
"Session has been disconnected","TRADENET\thor","11/7/2016 4:30:02 PM","10.215.237.139"
"Session has been disconnected","TRADENET\sagi.golan","11/7/2016 10:05:26 AM","10.215.237.97"
"Session reconnection succeeded","TRADENET\sagi.golan","11/6/2016 5:41:40 PM","10.215.237.97"
"Session has been disconnected","TRADENET\osher.nesimi","11/6/2016 5:02:15 PM","10.215.237.140"
"Session reconnection succeeded","TRADENET\osher.nesimi","11/6/2016 4:03:39 PM","10.215.237.140"
"Session has been disconnected","TRADENET\osher.nesimi","11/6/2016 12:07:24 PM","10.215.237.140"
"Session reconnection succeeded","TRADENET\osher.nesimi","11/6/2016 11:47:28 AM","10.215.237.140"
"Session has been disconnected","TRADENET\osher.nesimi","11/6/2016 11:47:28 AM","10.215.237.52"
"Session reconnection succeeded","TRADENET\osher.nesimi","11/6/2016 11:45:56 AM","10.215.237.52"
"Session has been disconnected","TRADENET\osher.nesimi","11/6/2016 10:42:42 AM","10.215.237.140"
"Session reconnection succeeded","TRADENET\osher.nesimi","11/6/2016 10:29:44 AM","10.215.237.140"
"Session reconnection succeeded","TRADENET\thor","11/6/2016 10:28:55 AM","10.215.237.139"
"Session has been disconnected","TRADENET\osher.nesimi","11/4/2016 4:35:03 PM","10.215.237.140"
"Session has been disconnected","TRADENET\thor","11/4/2016 12:09:06 PM","192.168.77.56"
"Session reconnection succeeded","TRADENET\thor","11/4/2016 8:02:38 AM","192.168.77.56"
"Session has been disconnected","TRADENET\thor","11/4/2016 7:43:47 AM","192.168.77.56"
"Session reconnection succeeded","TRADENET\thor","11/4/2016 6:54:59 AM","192.168.77.56"
"Session has been disconnected","TRADENET\thor","11/4/2016 6:53:41 AM","192.168.77.56"
"Session reconnection succeeded","TRADENET\thor","11/4/2016 6:24:10 AM","192.168.77.56"
"Session has been disconnected","TRADENET\thor","11/3/2016 9:47:29 PM","192.168.77.51"
"Session reconnection succeeded","TRADENET\thor","11/3/2016 9:45:01 PM","192.168.77.51"
"Session has been disconnected","TRADENET\thor","11/3/2016 8:13:34 PM","10.215.237.139"
"Session reconnection succeeded","TRADENET\osher.nesimi","11/3/2016 12:36:26 PM","10.215.237.140"
"Session has been disconnected","TRADENET\osher.nesimi","11/3/2016 12:36:22 PM","10.215.237.140"
"Session reconnection succeeded","TRADENET\osher.nesimi","11/3/2016 11:46:37 AM","10.215.237.140"
"Session has been disconnected","TRADENET\osher.nesimi","11/3/2016 11:46:33 AM","10.215.237.140"
"Session reconnection succeeded","TRADENET\osher.nesimi","11/3/2016 11:26:58 AM","10.215.237.140"
"Session has been disconnected","TRADENET\osher.nesimi","11/3/2016 11:26:53 AM","10.215.237.140"
"Session reconnection succeeded","TRADENET\osher.nesimi","11/3/2016 9:51:33 AM","10.215.237.140"
"Session has been disconnected","TRADENET\osher.nesimi","11/3/2016 9:51:27 AM","10.215.237.140"
"Session reconnection succeeded","TRADENET\osher.nesimi","11/3/2016 9:30:37 AM","10.215.237.140"
"Session has been disconnected","TRADENET\osher.nesimi","11/3/2016 9:30:32 AM","10.215.237.140"
"Session reconnection succeeded","TRADENET\thor","11/3/2016 8:55:40 AM","10.215.237.139"
"Session has been disconnected","TRADENET\thor","11/2/2016 6:51:33 PM","10.215.236.254"
"Session reconnection succeeded","TRADENET\thor","11/2/2016 6:39:54 PM","10.215.236.254"
"Session has been disconnected","TRADENET\thor","11/2/2016 6:39:37 PM","10.215.236.254"
"Session reconnection succeeded","TRADENET\thor","11/2/2016 6:39:04 PM","10.215.236.254"
"Session has been disconnected","TRADENET\thor","11/2/2016 6:39:01 PM","10.215.236.254"
"Session reconnection succeeded","TRADENET\thor","11/2/2016 6:33:10 PM","10.215.236.254"
"Session has been disconnected","TRADENET\hulk","11/2/2016 5:34:11 PM","10.215.237.84"
"Session reconnection succeeded","TRADENET\osher.nesimi","11/2/2016 5:33:42 PM","10.215.237.140"
"Session has been disconnected","TRADENET\osher.nesimi","11/2/2016 5:33:38 PM","10.215.237.140"
"Session reconnection succeeded","TRADENET\hulk","11/2/2016 5:30:34 PM","10.215.237.84"
"Session has been disconnected","TRADENET\thor","11/2/2016 5:30:32 PM","10.215.237.139"
"Session reconnection succeeded","TRADENET\osher.nesimi","11/2/2016 5:00:18 PM","10.215.237.140"
"Session has been disconnected","TRADENET\osher.nesimi","11/2/2016 5:00:14 PM","10.215.237.140"
"Session reconnection succeeded","TRADENET\osher.nesimi","11/2/2016 4:46:18 PM","10.215.237.140"
"Session has been disconnected","TRADENET\osher.nesimi","11/2/2016 4:46:14 PM","10.215.237.140"
"Session reconnection succeeded","TRADENET\osher.nesimi","11/2/2016 4:30:43 PM","10.215.237.140"
"Session has been disconnected","TRADENET\osher.nesimi","11/2/2016 4:19:30 PM","10.215.237.140"
"Session reconnection succeeded","TRADENET\osher.nesimi","11/2/2016 4:12:30 PM","10.215.237.140"
"Session has been disconnected","TRADENET\osher.nesimi","11/2/2016 4:08:50 PM","10.215.237.140"
"Session reconnection succeeded","TRADENET\osher.nesimi","11/2/2016 4:06:41 PM","10.215.237.140"
"Session has been disconnected","TRADENET\osher.nesimi","11/2/2016 4:06:36 PM","10.215.237.140"
"Session reconnection succeeded","TRADENET\osher.nesimi","11/2/2016 3:46:54 PM","10.215.237.140"
"Session has been disconnected","TRADENET\osher.nesimi","11/2/2016 3:46:49 PM","10.215.237.140"
"Session reconnection succeeded","TRADENET\osher.nesimi","11/2/2016 3:24:30 PM","10.215.237.140"
"Session has been disconnected","TRADENET\osher.nesimi","11/2/2016 3:24:28 PM","10.215.237.140"
"Session reconnection succeeded","TRADENET\thor","11/2/2016 2:28:46 PM","10.215.237.139"
"Session has been disconnected","TRADENET\thor","11/2/2016 2:28:38 PM","10.215.237.139"
"Session reconnection succeeded","TRADENET\thor","11/2/2016 1:23:32 PM","10.215.237.139"
"Session reconnection succeeded","TRADENET\osher.nesimi","11/2/2016 12:48:19 PM","10.215.237.140"
"Session has been disconnected","TRADENET\osher.nesimi","11/2/2016 12:48:15 PM","10.215.237.140"
"Session reconnection succeeded","TRADENET\osher.nesimi","11/2/2016 12:32:38 PM","10.215.237.140"
"Session has been disconnected","TRADENET\thor","11/2/2016 12:20:58 PM","10.215.237.139"
"Session reconnection succeeded","TRADENET\thor","11/2/2016 10:21:15 AM","10.215.237.139"
"Session has been disconnected","TRADENET\thor","11/2/2016 10:21:07 AM","10.215.237.139"
"Session reconnection succeeded","TRADENET\thor","11/2/2016 10:06:47 AM","10.215.237.139"
"Session has been disconnected","TRADENET\thor","11/2/2016 10:06:32 AM","10.215.237.139"
"Session reconnection succeeded","TRADENET\thor","11/1/2016 6:04:47 PM","10.215.237.139"
"Session has been disconnected","TRADENET\thor","11/1/2016 6:04:44 PM","10.215.237.139"
"Session has been disconnected","TRADENET\osher.nesimi","11/1/2016 6:01:43 PM","10.215.237.140"
"Session reconnection succeeded","TRADENET\osher.nesimi","11/1/2016 5:22:57 PM","10.215.237.140"
"Session has been disconnected","TRADENET\osher.nesimi","11/1/2016 5:22:52 PM","10.215.237.140"
"Session reconnection succeeded","TRADENET\osher.nesimi","11/1/2016 4:38:04 PM","10.215.237.140"
"Session has been disconnected","TRADENET\osher.nesimi","11/1/2016 4:38:00 PM","10.215.237.140"
"Session reconnection succeeded","TRADENET\osher.nesimi","11/1/2016 3:43:03 PM","10.215.237.140"
"Session has been disconnected","TRADENET\osher.nesimi","11/1/2016 3:42:59 PM","10.215.237.140"
"Session reconnection succeeded","TRADENET\osher.nesimi","11/1/2016 2:27:53 PM","10.215.237.140"
"Session has been disconnected","TRADENET\osher.nesimi","11/1/2016 2:27:48 PM","10.215.237.140"
"Session reconnection succeeded","TRADENET\osher.nesimi","11/1/2016 2:17:46 PM","10.215.237.140"
"Session has been disconnected","TRADENET\osher.nesimi","11/1/2016 2:17:42 PM","10.215.237.140"
"Session reconnection succeeded","TRADENET\osher.nesimi","11/1/2016 12:40:27 PM","10.215.237.140"
"Session reconnection succeeded","TRADENET\thor","11/1/2016 7:30:40 AM","10.215.237.139"
"Session has been disconnected","TRADENET\thor","10/31/2016 4:58:56 PM","10.215.237.139"
"Session has been disconnected","TRADENET\osher.nesimi","10/31/2016 1:20:19 PM","10.215.237.140"
"Session reconnection succeeded","TRADENET\osher.nesimi","10/31/2016 1:00:54 PM","10.215.237.140"
"Session has been disconnected","TRADENET\osher.nesimi","10/31/2016 1:00:53 PM","10.215.237.140"
"Session reconnection succeeded","TRADENET\thor","10/31/2016 12:48:23 PM","10.215.237.139"
"Session has been disconnected","TRADENET\thor","10/31/2016 12:47:59 PM","10.215.237.139"
"Session reconnection succeeded","TRADENET\thor","10/31/2016 12:45:54 PM","10.215.237.139"
"Session has been disconnected","TRADENET\thor","10/31/2016 12:45:50 PM","10.215.237.139"
"Session reconnection succeeded","TRADENET\thor","10/31/2016 12:38:26 PM","10.215.237.139"
"Session has been disconnected","TRADENET\thor","10/31/2016 12:38:22 PM","10.215.237.139"
"Session reconnection succeeded","TRADENET\osher.nesimi","10/31/2016 11:46:04 AM","10.215.237.140"
"Session has been disconnected","TRADENET\sagi.golan","10/31/2016 11:28:31 AM","10.215.237.97"
"Session reconnection succeeded","TRADENET\sagi.golan","10/31/2016 11:20:05 AM","10.215.237.97"
"Session has been disconnected","TRADENET\osher.nesimi","10/31/2016 11:15:19 AM","10.215.237.140"
"Session reconnection succeeded","TRADENET\osher.nesimi","10/31/2016 11:11:11 AM","10.215.237.140"
"Session has been disconnected","TRADENET\sagi.golan","10/31/2016 10:34:53 AM","10.215.237.97"
"Session reconnection succeeded","TRADENET\sagi.golan","10/31/2016 10:27:49 AM","10.215.237.97"
"Session has been disconnected","TRADENET\osher.nesimi","10/31/2016 10:21:27 AM","10.215.237.140"
"Session reconnection succeeded","TRADENET\osher.nesimi","10/31/2016 10:20:36 AM","10.215.237.140"
"Session has been disconnected","TRADENET\sagi.golan","10/31/2016 9:12:05 AM","10.215.237.97"
"Session reconnection succeeded","TRADENET\thor","10/31/2016 7:46:01 AM","10.215.237.139"
"Session has been disconnected","TRADENET\thor","10/31/2016 7:45:57 AM","10.215.237.139"
"Session reconnection succeeded","TRADENET\thor","10/31/2016 7:45:30 AM","10.215.237.139"
"Session has been disconnected","TRADENET\thor","10/30/2016 10:44:10 PM","192.168.77.56"
"Session reconnection succeeded","TRADENET\thor","10/30/2016 9:43:26 PM","192.168.77.56"
"Session has been disconnected","TRADENET\osher.nesimi","10/30/2016 4:04:03 PM","10.215.237.140"
"Session reconnection succeeded","TRADENET\osher.nesimi","10/30/2016 4:00:47 PM","10.215.237.140"
"Session has been disconnected","TRADENET\thor","10/30/2016 4:00:46 PM","10.215.237.139"
"Session reconnection succeeded","TRADENET\sagi.golan","10/30/2016 3:28:35 PM","10.215.237.97"
"Session has been disconnected","TRADENET\osher.nesimi","10/30/2016 3:28:34 PM","10.215.237.140"
"Session reconnection succeeded","TRADENET\osher.nesimi","10/30/2016 3:11:35 PM","10.215.237.140"
"Session reconnection succeeded","TRADENET\thor","10/30/2016 2:18:37 PM","10.215.237.139"
"Session has been disconnected","TRADENET\thor","10/30/2016 2:18:34 PM","10.215.237.139"
"Session reconnection succeeded","TRADENET\thor","10/30/2016 11:23:51 AM","10.215.237.139"
"Session has been disconnected","TRADENET\thor","10/30/2016 6:03:55 AM","192.168.77.55"
"Session reconnection succeeded","TRADENET\thor","10/30/2016 5:48:51 AM","192.168.77.55"
"Session has been disconnected","TRADENET\thor","10/29/2016 10:31:54 PM","192.168.77.55"
"Session reconnection succeeded","TRADENET\thor","10/29/2016 10:31:05 PM","192.168.77.55"
"Session has been disconnected","TRADENET\thor","10/29/2016 10:31:01 PM","192.168.77.55"
"Session reconnection succeeded","TRADENET\thor","10/29/2016 10:26:09 PM","192.168.77.55"
"Session has been disconnected","TRADENET\thor","10/29/2016 10:26:08 PM","192.168.77.56"
"Session reconnection succeeded","TRADENET\thor","10/29/2016 2:34:02 PM","192.168.77.56"
"Session has been disconnected","TRADENET\hulk","10/29/2016 12:31:51 AM","192.168.77.56"
"Session has been disconnected","TRADENET\thor","10/28/2016 9:38:43 PM","192.168.77.56"
"Session reconnection succeeded","TRADENET\thor","10/28/2016 4:02:18 PM","192.168.77.56"
"Session logon succeeded","TRADENET\hulk","10/28/2016 4:00:41 PM","192.168.77.56"
"Session has been disconnected","TRADENET\thor","10/27/2016 6:52:07 PM","10.215.237.139"
"Session reconnection succeeded","TRADENET\thor","10/27/2016 5:26:45 PM","10.215.237.139"
"Session has been disconnected","TRADENET\thor","10/27/2016 5:26:29 PM","10.215.237.139"
"Session has been disconnected","TRADENET\sagi.golan","10/25/2016 12:21:15 PM","192.168.121.108"
"Session reconnection succeeded","TRADENET\sagi.golan","10/25/2016 12:17:16 PM","192.168.121.108"
"Session has been disconnected","TRADENET\sagi.golan","10/25/2016 12:17:01 PM","192.168.121.108"
"Session reconnection succeeded","TRADENET\sagi.golan","10/25/2016 12:15:09 PM","192.168.121.108"
"Session has been disconnected","TRADENET\sagi.golan","10/25/2016 11:40:29 AM","192.168.121.56"
"Session reconnection succeeded","TRADENET\sagi.golan","10/25/2016 11:37:22 AM","192.168.121.56"
"Session has been disconnected","TRADENET\sagi.golan","10/25/2016 11:37:21 AM","10.215.237.97"
"Session reconnection succeeded","TRADENET\thor","10/25/2016 11:25:32 AM","10.215.237.139"
"Session has been disconnected","TRADENET\osher.nesimi","10/25/2016 11:19:19 AM","192.168.121.54"
"Session reconnection succeeded","TRADENET\osher.nesimi","10/25/2016 11:10:40 AM","192.168.121.54"
"Session has been disconnected","TRADENET\thor","10/25/2016 11:10:39 AM","10.215.237.139"
"Session reconnection succeeded","TRADENET\sagi.golan","10/25/2016 10:48:44 AM","10.215.237.97"
"Session reconnection succeeded","TRADENET\thor","10/25/2016 9:44:01 AM","10.215.237.139"
"Session has been disconnected","TRADENET\thor","10/25/2016 8:15:19 AM","192.168.77.55"
"Session reconnection succeeded","TRADENET\thor","10/25/2016 8:05:11 AM","192.168.77.55"
"Session has been disconnected","TRADENET\thor","10/25/2016 8:00:40 AM","192.168.77.55"
"Session reconnection succeeded","TRADENET\thor","10/25/2016 7:47:28 AM","192.168.77.55"
"Session has been disconnected","TRADENET\thor","10/24/2016 11:05:05 PM","192.168.77.55"
"Session reconnection succeeded","TRADENET\thor","10/24/2016 11:00:17 PM","192.168.77.55"
"Session has been disconnected","TRADENET\thor","10/24/2016 10:59:16 PM","192.168.77.55"
"Session reconnection succeeded","TRADENET\thor","10/24/2016 9:39:46 PM","192.168.77.55"
"Session has been disconnected","TRADENET\thor","10/24/2016 3:21:56 PM","192.168.77.55"
"Session reconnection succeeded","TRADENET\thor","10/24/2016 3:01:40 PM","192.168.77.55"
"Session has been disconnected","TRADENET\thor","10/24/2016 2:18:19 PM","192.168.77.55"
"Session reconnection succeeded","TRADENET\thor","10/24/2016 2:09:01 PM","192.168.77.55"
"Session has been disconnected","TRADENET\thor","10/24/2016 2:09:01 PM","10.215.237.139"
"Session reconnection succeeded","TRADENET\thor","10/23/2016 11:40:31 AM","10.215.237.139"
"Session has been disconnected","TRADENET\thor","10/22/2016 7:29:59 AM","192.168.77.55"
"Session reconnection succeeded","TRADENET\thor","10/22/2016 7:21:31 AM","192.168.77.55"
"Session has been disconnected","TRADENET\thor","10/22/2016 7:11:16 AM","192.168.77.55"
"Session reconnection succeeded","TRADENET\thor","10/22/2016 6:58:47 AM","192.168.77.55"
"Session has been disconnected","TRADENET\thor","10/21/2016 9:48:02 PM","192.168.77.55"
"Session reconnection succeeded","TRADENET\thor","10/21/2016 9:41:07 PM","192.168.77.55"
"Session has been disconnected","TRADENET\thor","10/21/2016 8:49:40 PM","192.168.77.55"
"Session reconnection succeeded","TRADENET\thor","10/21/2016 8:21:19 PM","192.168.77.55"
"Session has been disconnected","TRADENET\thor","10/21/2016 8:21:18 PM","10.215.237.139"
"Session reconnection succeeded","TRADENET\thor","10/20/2016 3:06:34 PM","10.215.237.139"
"Session has been disconnected","TRADENET\thor","10/20/2016 2:46:12 PM","10.215.237.139"
"Session reconnection succeeded","TRADENET\thor","10/20/2016 8:39:39 AM","10.215.237.139"
"Session has been disconnected","TRADENET\thor","10/20/2016 8:39:33 AM","10.215.237.139"
"Session reconnection succeeded","TRADENET\thor","10/20/2016 8:38:27 AM","10.215.237.139"
"Session has been disconnected","TRADENET\thor","10/19/2016 3:51:46 PM","10.215.237.139"
"Session has been disconnected","TRADENET\osher.nesimi","10/19/2016 2:25:58 PM","10.215.237.140"
"Session reconnection succeeded","TRADENET\osher.nesimi","10/19/2016 11:57:01 AM","10.215.237.140"
"Session reconnection succeeded","TRADENET\thor","10/19/2016 8:20:34 AM","10.215.237.139"
"Session has been disconnected","TRADENET\thor","10/18/2016 8:43:57 PM","192.168.77.55"
"Session reconnection succeeded","TRADENET\thor","10/18/2016 8:35:06 PM","192.168.77.55"
"Session has been disconnected","TRADENET\thor","10/18/2016 8:35:04 PM","10.215.237.139"
"Session reconnection succeeded","TRADENET\thor","10/18/2016 5:41:13 PM","10.215.237.139"
"Session has been disconnected","TRADENET\thor","10/18/2016 2:51:19 PM","10.215.237.139"
